"","Y.Position","Colours"
"1",2044,"#33C4C3"
"2",1498,"#CCF846"
"3",621,"#92F64B"
"4",1458,"#F8D5B5"
"5",1175,"#C665E5"
"6",2593,"#B7C599"
"7",238,"#CFE660"
"8",1058,"#56EB95"
"9",1387,"#DCF1BB"
"10",2602,"#DEB0C8"
"11",207,"#3084AC"
"12",1028,"#DBCBD8"
"13",1623,"#7FF1DE"
"14",834,"#B796D8"
"15",1763,"#839056"
"16",592,"#ADC9C6"
"17",1955,"#A4B758"
"18",775,"#C6E2DE"
"19",200,"#6A5A99"
"20",113,"#EFEB95"
"21",762,"#DAF8AB"
"22",242,"#577CB1"
"23",708,"#6A5A99"
"24",2552,"#CDB5A8"
"25",2346,"#F768AE"
"26",563,"#C7D371"
"27",1130,"#EB40C4"
"28",977,"#D4BFC3"
"29",273,"#9BE2B8"
"30",602,"#DEFA99"
"31",469,"#D836C8"
"32",1311,"#93CF8D"
"33",820,"#95866F"
"34",1801,"#6F2F8D"
"35",1456,"#3BDDD1"
"36",1979,"#E5C6CE"
"37",1406,"#8A9A87"
"38",2222,"#868CF4"
"39",644,"#F468F6"
"40",1698,"#F1C3F9"
"41",1570,"#EABE7F"
"42",2315,"#D3CC9C"
"43",1814,"#83E2CF"
"44",2161,"#A0F7C3"
"45",508,"#6C9D32"
"46",613,"#D8ADED"
"47",248,"#EED8F9"
"48",2115,"#F66C62"
"49",1760,"#DE526C"
"50",2207,"#B796D8"
"51",545,"#FAE4C9"
"52",20,"#F3CB5A"
"53",1824,"#B56ED5"
"54",993,"#DF7EB4"
"55",86,"#4149F0"
"56",2592,"#4149F0"
"57",2317,"#A9A4F7"
"58",2117,"#8758EF"
"59",566,"#DBC383"
"60",752,"#C9BB1E"
"61",1191,"#2EB0CB"
"62",1565,"#FB9E95"
"63",891,"#A3638C"
"64",675,"#D6A994"
"65",1685,"#A3638C"
"66",256,"#F078C3"
"67",1025,"#263397"
"68",1700,"#CB6F67"
"69",1035,"#CDF8F1"
"70",292,"#E357C0"
"71",1590,"#F1F7B3"
"72",992,"#DEC3BD"
"73",2295,"#839056"
"74",1487,"#E5D777"
"75",2454,"#4491D5"
"76",2318,"#F8BCE0"
"77",647,"#B2F845"
"78",746,"#DC8CA0"
"79",1218,"#FCC193"
"80",2379,"#834243"
"81",1267,"#97CD1B"
"82",2136,"#88E194"
"83",2374,"#9D57BF"
"84",195,"#3B3AAB"
"85",1924,"#85E352"
"86",2566,"#E7B53F"
"87",482,"#79F7B0"
"88",1328,"#BFA9F2"
"89",2405,"#F7E189"
"90",293,"#DA7192"
"91",717,"#B7C599"
"92",2122,"#F6DFA7"
"93",655,"#B0EEE7"
"94",1036,"#6BFAEF"
"95",1178,"#90448D"
"96",1152,"#D0ECF9"
"97",759,"#CB97A1"
"98",597,"#6DA285"
"99",2047,"#D836C8"
"100",2034,"#E3D1EC"
"101",1867,"#3BDDD1"
"102",2017,"#BA2FF3"
"103",750,"#CFE31C"
"104",782,"#7C2A40"
"105",1594,"#DB9193"
"106",2417,"#DCF1BB"
"107",1113,"#6ED97E"
"108",280,"#CFE660"
"109",1029,"#D9A2F5"
"110",2297,"#DDE0AA"
"111",2064,"#F1F7B3"
"112",2358,"#E7B53F"
"113",998,"#C665E5"
"114",695,"#95C5F8"
"115",579,"#E79425"
"116",1874,"#EB40C4"
"117",479,"#CB97A1"
"118",1422,"#D7EBD7"
"119",785,"#F2C9E6"
"120",533,"#4F63D1"
"121",954,"#7DCBC1"
"122",1989,"#DCB595"
"123",1925,"#6ED97E"
"124",2171,"#DBE585"
"125",1310,"#FB9DF6"
"126",2224,"#E48CF6"
"127",1273,"#69BCA0"
"128",2375,"#8AD2A8"
"129",934,"#F7DBE4"
"130",502,"#89693A"
"131",2453,"#F7FB2E"
"132",2205,"#F8B560"
"133",2063,"#E52A87"
"134",1865,"#F7DBE4"
"135",1821,"#EFEECE"
"136",1320,"#DA9FC0"
"137",2403,"#B8D7E8"
"138",2175,"#B9C3D4"
"139",2288,"#9EF77A"
"140",1336,"#8FBDAD"
"141",1699,"#A1B7F0"
"142",789,"#EC974B"
"143",1109,"#D6F3EE"
"144",1828,"#D69B8E"
"145",356,"#96D5CE"
"146",1661,"#9CF9AF"
"147",735,"#9745F5"
"148",2410,"#9FD2ED"
"149",1411,"#EFE7A4"
"150",2151,"#4BE4F9"
"151",2584,"#3AAF84"
"152",880,"#BFDF8F"
"153",140,"#CFE6A0"
"154",1513,"#CA8BF0"
"155",1174,"#E6D028"
"156",1709,"#A1B7F0"
"157",912,"#EF47E5"
"158",160,"#AECE63"
"159",414,"#90B04A"
"160",1272,"#56EB95"
"161",693,"#EBFDEB"
"162",1543,"#8EAC7E"
"163",724,"#D69B8E"
"164",1667,"#C55194"
"165",2085,"#72F82B"
"166",153,"#C7F6D7"
"167",1158,"#F9ADF4"
"168",1994,"#E1F2F7"
"169",1154,"#9E8A2F"
"170",2074,"#C1F0DD"
"171",2150,"#98F896"
"172",1068,"#F7FB2E"
"173",1515,"#F939F2"
"174",550,"#C791E4"
"175",2557,"#F822CB"
"176",82,"#3084AC"
"177",1609,"#C68376"
"178",2437,"#B3F7E1"
"179",325,"#D6F3EE"
"180",2458,"#6DA285"
"181",1618,"#B0EEE7"
"182",2,"#B2B08F"
"183",1298,"#70BDC5"
"184",1547,"#F4C3A4"
"185",1294,"#2AE8E9"
"186",254,"#F8D5B5"
"187",2174,"#F6A5DB"
"188",60,"#82BD8F"
"189",2026,"#83E2CF"
"190",311,"#BAE2CD"
"191",575,"#DBCBD8"
"192",2298,"#F7B0AF"
"193",58,"#F8B560"
"194",1020,"#71A6F4"
"195",2072,"#DBCBD8"
"196",1257,"#72D5B0"
"197",1356,"#EFE7A4"
"198",1197,"#CDF8F1"
"199",1462,"#56C585"
"200",503,"#C182A0"
"201",501,"#F6A5DB"
"202",2314,"#CFE6A0"
"203",895,"#76C894"
"204",1238,"#C2D1C0"
"205",730,"#E2A0E8"
"206",1081,"#E898E9"
"207",2345,"#82BD8F"
"208",2215,"#2F2D02"
"209",1392,"#FACAC8"
"210",2382,"#7EF586"
"211",931,"#8FBDAD"
"212",2178,"#8A8D1A"
